continent,bornCountryCode
Africa,DZ
South America,AR
Australia/Oceania,AU
Europe,AT
Asia,AZ
Asia,BD
North America,BB
Europe,BY
Africa,CD
Europe,BE
Europe,BA
South America,BR
Asia,IN
Asia,IL
North America,LC
Europe,BG
Asia,MM
North America,CA
South America,CL
Asia,CN
South America,CO
North America,CR
Europe,GR
Europe,HR
Europe,CY
Europe,CZ
Asia,VN
Europe,DK
Europe,DE
Asia,TL
Africa,EG
Africa,ET
Europe,FI
Europe,FR
Europe,PL
Africa,GA
Africa,GH
North America,GL
North America,GP
North America,GT
Europe,HU
Europe,IS
Asia,ID
Asia,IR
Asia,IQ
Europe,IE
Europe,IT
North America,JM
Asia,JP
Africa,KE
Asia,KP
Europe,LV
Africa,LR
Europe,LT
Europe,LU
Africa,MG
Africa,MU
South America,MX
Africa,MA
Australia/Oceania,NZ
Africa,NG
Europe,NO
Asia,PK
South America,PE
Asia,PH
Europe,PT
North America,PR
Europe,MK
Europe,RO
Europe,RU
Europe,RS
Asia,SG
Europe,SK
Europe,SI
Africa,ZA
Asia,KR
Europe,ES
Europe,SE
Europe,CH
Asia,TW
Europe,NL
Africa,TT
Africa,TN
Asia,TR
Europe,UA
Europe,GB
North America,US
South America,VE
Asia,YE
Europe,YU
Africa,ZM
Africa,ZW
